mission_id,mission_type,latitude,longitude,urgency_level,urgency_score,threat_level,civilian_density,required_sensor,estimated_duration,created_time
M001,Disaster Assessment,40.392,37.1772,Low,2.66,2.4,0.58,Multi-Spectral,80,2025-12-17 11:18:21.600381
M002,Reconnaissance,41.8195,41.1515,Critical,9.71,2.64,1.83,Multi-Spectral,121,2025-12-17 07:18:21.600660
M003,Border Patrol,39.6711,29.3714,High,6.79,4.3,4.56,Night Vision,122,2025-12-17 07:18:21.600866
M004,Disaster Assessment,36.2787,37.3283,Medium,4.67,1.59,9.49,Multi-Spectral,114,2025-12-17 10:18:21.601059
M005,Search and Rescue,40.1054,34.4826,Critical,9.62,5.46,0.34,HD Camera,88,2025-12-17 01:18:21.601239
M006,Disaster Assessment,39.1204,36.2941,High,6.68,9.73,7.75,HD Camera,89,2025-12-17 15:18:21.601411
M007,Disaster Assessment,37.952,33.6075,Critical,9.77,8.46,3.57,Multi-Spectral,121,2025-12-17 06:18:21.601573
M008,Border Patrol,36.9916,27.2658,High,6.92,4.55,2.93,Night Vision,152,2025-12-17 02:18:21.601739
M009,Reconnaissance,39.6358,42.7471,Medium,5.15,9.23,8.5,Multi-Spectral,79,2025-12-17 03:18:21.601898
M010,Surveillance,39.8253,42.0826,Medium,4.97,2.08,7.13,Thermal,138,2025-12-16 20:18:21.602084
M011,Reconnaissance,38.5652,27.4321,Medium,4.61,1.28,6.36,Multi-Spectral,114,2025-12-17 15:18:21.602257
M012,Surveillance,38.4623,39.8444,High,6.73,1.69,2.9,HD Camera,162,2025-12-17 09:18:21.602431
M013,Surveillance,36.633,34.7611,High,6.72,4.75,8.83,Multi-Spectral,151,2025-12-17 12:18:21.602593
M014,Border Patrol,39.8861,27.0088,High,6.85,3.74,1.65,Night Vision,92,2025-12-17 14:18:21.602748
M015,Border Patrol,38.0257,43.0295,Critical,9.82,5.67,7.03,Thermal,39,2025-12-16 23:18:21.602902
M016,Disaster Assessment,38.9835,32.1149,High,6.78,1.33,6.1,HD Camera,91,2025-12-16 20:18:21.603055
M017,Surveillance,39.8061,38.572,High,7.03,5.03,5.53,Night Vision,130,2025-12-17 08:18:21.603208
